content,metadata
"新产品上架流程:1. 提交产品信息 2. 品类经理审核 3. 定价审核 4. 库存确认 5. 系统上架","{\"category\":\"product_launch\",\"source\":\"业务操作手册\",\"answer\":\"按照五步流程执行新产品上架\",\"role\":\"business\"}"
"退货处理流程:1. 客户提交退货申请 2. 客服审核退货原因 3. 确认退货地址 4. 验收退回商品 5. 退款处理","{\"category\":\"returns\",\"source\":\"售后服务手册\",\"answer\":\"按照五步流程处理退货请求\",\"role\":\"business\"}"
"商品分类标准:A类（高端产品）、B类（中端产品）、C类（常规产品）、D类（促销产品）。不同类别采用不同的定价策略和库存管理方式。","{\"category\":\"product_category\",\"source\":\"产品管理手册\",\"answer\":\"根据产品等级采用相应的管理策略\",\"role\":\"business\"}"
"品类评估五大维度:1. 品类发展现状 2. 发展趋势及驱动因素 3. 品牌对比分析 4. 领先企业特征 5. 主要风险评估","{\"category\":\"category_evaluation\",\"source\":\"品类评估手册\",\"answer\":\"从五个维度进行品类评估分析\",\"role\":\"business\"}"
"供应商管理制度:\n1. 准入标准\n   - 经营资质审核\n   - 产品质量评估\n   - 供货能力评估\n2. 合作等级\n   - 战略供应商\n   - 核心供应商\n   - 一般供应商\n3. 考核指标\n   - 产品质量\n   - 交付及时率\n   - 售后服务","{\"category\":\"supplier_management\",\"source\":\"供应链管理手册\",\"answer\":\"执行供应商分级管理\",\"role\":\"business\"}"
"库存预警管理:\n1. 安全库存设置\n   - A类商品:15天销量\n   - B类商品:30天销量\n   - C类商品:45天销量\n2. 预警等级\n   - 红色:库存不足7天\n   - 黄色:库存不足15天\n   - 绿色:库存充足","{\"category\":\"inventory_alert\",\"source\":\"库存管理手册\",\"answer\":\"根据预警等级采取相应措施\",\"role\":\"business\"}"
"促销活动审批流程:\n1. 活动策划\n   - 确定促销商品\n   - 制定促销方案\n2. 部门审核\n   - 运营部审核\n   - 财务部审核\n3. 系统设置\n   - 价格调整\n   - 库存预留\n4. 活动执行\n   - 页面发布\n   - 效果监控","{\"category\":\"promotion_approval\",\"source\":\"营销管理制度\",\"answer\":\"按照审批流程开展促销活动\",\"role\":\"business\"}"
"质量管理标准:\n1. 商品抽检\n   - 到货抽检\n   - 库存抽检\n   - 质量投诉跟踪\n2. 不合格品处理\n   - 退回供应商\n   - 降级销售\n   - 报废处理","{\"category\":\"quality_control\",\"source\":\"质量管理手册\",\"answer\":\"执行质量管理标准\",\"role\":\"business\"}"
"价格调整流程:\n1. 提出申请\n   - 市场价格分析\n   - 竞品价格对比\n   - 成本核算\n2. 审批流程\n   - 品类经理审核\n   - 定价委员会审批\n3. 执行调整\n   - 系统价格更新\n   - 通知相关部门","{\"category\":\"price_adjustment\",\"source\":\"价格管理制度\",\"answer\":\"按照流程执行价格调整\",\"role\":\"business\"}"
"采购计划制定:\n1. 需求预测\n   - 历史销售分析\n   - 市场趋势预测\n   - 促销计划考虑\n2. 采购量确定\n   - 安全库存维持\n   - 采购周期考虑\n   - 最小起订量\n3. 供应商选择\n   - 价格对比\n   - 交期评估\n   - 质量稳定性","{\"category\":\"purchase_planning\",\"source\":\"采购管理手册\",\"answer\":\"制定科学的采购计划\",\"role\":\"business\"}"
"商品淘汰机制:\n1. 淘汰标准\n   - 连续3个月无销量\n   - 毛利率低于10%\n   - 客诉率超过3%\n2. 处理方式\n   - 清仓促销\n   - 退回供应商\n   - 转移其他渠道","{\"category\":\"product_elimination\",\"source\":\"商品管理制度\",\"answer\":\"执行商品淘汰机制\",\"role\":\"business\"}"
"销售目标管理:\n1. 目标设定\n   - 品类目标\n   - 区域目标\n   - 渠道目标\n2. 考核指标\n   - 销售额达成率\n   - 毛利额达成率\n   - 新客户开发量","{\"category\":\"sales_target\",\"source\":\"销售管理制度\",\"answer\":\"实施销售目标管理\",\"role\":\"business\"}"
"仓储作业规范:\n1. 入库管理\n   - 到货验收\n   - 质量检查\n   - 上架存放\n2. 库内管理\n   - 定期盘点\n   - 库位优化\n   - 存储养护\n3. 出库管理\n   - 拣货复核\n   - 包装打包\n   - 发货交接","{\"category\":\"warehouse_operation\",\"source\":\"仓储管理手册\",\"answer\":\"执行仓储作业规范\",\"role\":\"business\"}"
"渠道管理制度:\n1. 渠道分级\n   - A级:年销售额>1000万\n   - B级:年销售额500-1000万\n   - C级:年销售额<500万\n2. 支持政策\n   - 返点政策\n   - 促销支持\n   - 培训服务","{\"category\":\"channel_management\",\"source\":\"渠道管理手册\",\"answer\":\"实施渠道分级管理\",\"role\":\"business\"}"
