content,metadata
"我们的退货政策如下:\n1. 自收到商品之日起7天内，如产品未使用、包装完好，可无理由退货\n2. 如因商品质量问题申请退货，需提供商品质量问题的证明（如照片）\n3. 定制类商品、鲜活易腐类商品、数字类商品等特殊商品不支持无理由退货\n4. 退货时需保持商品及配件、赠品完好，不影响二次销售\n5. 因商品质量问题或商家发货错误导致的退货，运费由商家承担\n6. 因个人原因申请退货，运费由客户承担\n7. 退款将在收到退回商品并确认无误后的3-7个工作日内处理完成","{\"category\":\"return_policy\",\"source\":\"客服手册\",\"answer\":\"按照退货政策处理退货申请\",\"role\":\"customer_service\"}"
"我们的配送服务标准如下:\n1. 正常情况下，订单确认后24小时内发货\n2. 大部分地区的配送时效为发货后1-3个工作日送达\n3. 偏远地区配送时效为发货后3-7个工作日\n4. 特殊天气、节假日等情况可能导致配送延迟\n5. 订单发出后，客户可通过订单号在系统中实时查询物流状态\n6. 如遇配送延迟，客服会主动联系客户说明情况\n7. 对于生鲜、冷冻等特殊商品，我们提供冷链配送服务，确保商品品质","{\"category\":\"delivery_guide\",\"source\":\"配送指南\",\"answer\":\"按照配送服务标准执行配送\",\"role\":\"customer_service\"}"
"退货流程如下:\n1. 在订单详情页面申请退货，选择退货原因并上传相关凭证\n2. 客服人员审核退货申请（通常在24小时内完成）\n3. 审核通过后，系统会生成退货地址和退货单\n4. 按照提示包装商品，并附上退货单\n5. 选择物流公司寄回商品（建议选择有运单号的快递方式）\n6. 商家收到退货商品后进行验收\n7. 验收无误后，系统会自动安排退款\n8. 退款到账时间根据支付方式不同，一般为3-15个工作日","{\"category\":\"return_process\",\"source\":\"退货指南\",\"answer\":\"按照退货流程指导客户完成退货\",\"role\":\"customer_service\"}"
"修改收货地址的方法:\n1. 如订单尚未发货:\n   - 登录账户，进入\"我的订单\"\n   - 找到需要修改的订单，点击\"修改收货地址\"\n2. 如订单已发货:\n   - 联系客服申请修改\n   - 提供订单号和新的收货信息\n   - 客服会协调物流公司进行地址变更（可能产生额外费用）","{\"category\":\"address_change\",\"source\":\"订单管理指南\",\"answer\":\"根据订单状态指导客户修改收货地址\",\"role\":\"customer_service\"}"
"会员等级与权益:\n1. 普通会员:\n   - 正常积分规则（消费1元=1积分）\n   - 生日当月获赠100积分\n2. 银卡会员（累计消费满1000元）:\n   - 积分1.2倍\n   - 专属客服通道\n   - 生日当月获赠200积分\n3. 金卡会员（累计消费满5000元）:\n   - 积分1.5倍\n   - 7*24小时专属客服\n   - 免费退换货服务（免运费）\n   - 生日当月获赠500积分\n4. 钻石会员（累计消费满20000元）:\n   - 积分2倍\n   - 新品优先购买权\n   - VIP专属活动邀请\n   - 生日当月获赠1000积分","{\"category\":\"membership\",\"source\":\"会员管理手册\",\"answer\":\"根据会员等级提供相应服务\",\"role\":\"customer_service\"}"
"积分使用规则:\n1. 积分获取:\n   - 商品购买：消费1元获得1积分（特殊活动除外）\n   - 评价奖励：发表有效评价获得10积分\n   - 活动奖励：参与指定活动可获得额外积分\n2. 积分使用:\n   - 100积分=1元，可抵扣订单金额\n   - 部分商品不支持积分抵扣（如特价商品）\n   - 单笔订单最高可使用积分抵扣订单金额的30%\n3. 积分有效期:\n   - 积分自获得之日起两年内有效\n   - 即将过期的积分会提前一个月通知","{\"category\":\"points_rule\",\"source\":\"积分管理规则\",\"answer\":\"按照积分规则指导客户使用积分\",\"role\":\"customer_service\"}"
"发票申请指南:\n1. 申请时间:\n   - 下单时选择\"要发票\"\n   - 订单完成后7天内可补开发票\n2. 发票类型:\n   - 电子普通发票（实时开具，发送至注册邮箱）\n   - 增值税专用发票（需提供企业税务信息）\n3. 发票内容:\n   - 商品明细（默认）\n   - 商品类别（如\"日用品\"、\"食品\"等）\n4. 注意事项:\n   - 发票一经开具不可修改\n   - 退货后发票需同步处理\n   - 优惠券、积分抵扣部分不可开具发票","{\"category\":\"invoice_guide\",\"source\":\"发票管理规则\",\"answer\":\"根据发票申请指南处理发票需求\",\"role\":\"customer_service\"}"
"投诉处理流程:\n1. 接收投诉:\n   - 记录客户基本信息和投诉内容\n   - 确认投诉诉求和期望解决方案\n2. 分类处理:\n   - 商品质量问题：转交品控部门\n   - 物流配送问题：转交物流部门\n   - 售后服务问题：转交售后团队\n   - 其他问题：转交相关负责部门\n3. 跟进反馈:\n   - 24小时内给予初步回应\n   - 3个工作日内提供处理方案\n   - 定期跟进处理进度\n4. 结案回访:\n   - 确认问题解决情况\n   - 收集客户满意度评价\n   - 总结改进措施","{\"category\":\"complaint_handling\",\"source\":\"投诉处理手册\",\"answer\":\"按照投诉处理流程解决客户问题\",\"role\":\"customer_service\"}"
"常见支付问题解答:\n1. 支付失败:\n   - 检查银行卡余额是否充足\n   - 确认是否有支付限额\n   - 尝试使用其他支付方式\n   - 清除浏览器缓存后重试\n2. 重复扣款:\n   - 保存支付凭证\n   - 联系客服提供订单号和支付截图\n   - 重复扣款将在7个工作日内原路退回\n3. 支付安全:\n   - 官方支付页面有安全标识\n   - 不要在陌生环境下支付\n   - 定期修改支付密码\n   - 开启支付验证","{\"category\":\"payment_faq\",\"source\":\"支付问题手册\",\"answer\":\"根据支付问题类型提供相应解决方案\",\"role\":\"customer_service\"}"
"账户安全指南:\n1. 密码设置:\n   - 使用8位以上包含字母、数字、特殊字符的组合\n   - 不使用生日、手机号等易猜测的信息\n   - 定期更换密码（建议3个月一次）\n2. 账户保护:\n   - 开启双因素认证\n   - 绑定手机号和邮箱\n   - 设置安全问题\n3. 异常情况处理:\n   - 发现异常登录立即修改密码\n   - 联系客服冻结账户\n   - 检查近期订单和支付记录","{\"category\":\"account_security\",\"source\":\"账户安全手册\",\"answer\":\"指导客户保护账户安全\",\"role\":\"customer_service\"}"
"商品咨询回复指南:\n1. 基本信息咨询:\n   - 提供准确的商品参数、规格、材质等信息\n   - 解释商品功能和使用方法\n   - 说明商品适用场景和人群\n2. 对比咨询:\n   - 客观比较不同商品的优缺点\n   - 根据客户需求推荐合适商品\n   - 不贬低竞品或做虚假宣传\n3. 库存和到货咨询:\n   - 提供准确的库存状态\n   - 告知预计到货时间\n   - 提供到货通知服务","{\"category\":\"product_inquiry\",\"source\":\"商品咨询手册\",\"answer\":\"按照指南回复客户商品咨询\",\"role\":\"customer_service\"}"
